vocab size,model,vocab,encoded,total
100,238701,653,241837,481191
200,239957,1605,216092,457654
300,241339,2687,208297,452323
400,242725,3773,203788,450286
500,244159,4907,200719,449785
600,245585,6033,198491,450109
700,247066,7214,196774,451054
800,248527,8375,195385,452287
1500,259155,17399,189993,466547
1600,260713,18757,189539,469009
1700,262159,20003,189139,471301
1800,263925,21569,188739,474233
1900,265307,22751,188421,476479
2000,266744,23988,188121,478853
2100,268378,25422,187821,481621
2200,270231,27075,187521,484827
2300,271716,28360,187286,487362
2400,273001,29445,187086,489532
2500,274428,30672,186886,491986
2600,275997,32041,186686,494724
2700,277658,33502,186486,497646
2800,279471,35115,186286,500872
2900,281420,36864,186086,504370
3000,283044,38288,185942,507274
